id,code,description,panel,labelPanel,genes
nx189,NX189,Analyse Exoom; NEURO Spastische paraplegie,Neurology; spastic paraplegia,,"ABCD1,ACP33,AP4B1,AP4E1,AP4M1,AP4S1,AP5Z1,ATL1,B4GALNT1,BSCL2,C12orf65,C19orf12,CAPN1,CCT5,CYP2U1,CYP7B1,DDHD1,DDHD2,ENTPD1,ERLIN2,FA2H,GBA2,GBE1,GJC2,HSP60,HSPD1,KIF1A,KIF1C,KIF5A,L1CAM,MCT8,MTPAP,NIPA1,PLP1,PNPLA6,RAB3GAP2,REEP1,RETREG1,RTN2,SACS,SLC16A2,SLC33A1,SPART,SPAST,SPG11,SPG21,SPG7,TECPR2,TFG,TH,VAMP1,VCP,VPS37A,WASHC5,WWOX,ZFYVE26,ZFYVE27"
nx190,NX190,Analyse Exoom; PID (totaal),Primary immune deficiencies,,
nx193,NX193,Analyse Exoom; OA,Developmental delay,,
nx194,NX194,Analyse Exoom; HVZ Hypercholesterolemie,Heart and vascular disease; Hypercholesterolemia,,
nx196,NX196,Analyse Exoom; HVZ Cardiomyopathie,Heart and vascular disease; Cardiomyopathy,,
nx197,NX197,Analyse Exoom; META Stofwisseling,Metabolic; metabolism,,
nx198,NX198,Analyse Exoom; genpanel 5GPM,5GPM,,
nx199,NX199,Analyse Exoom; HVZ Cardiomyopathie,Heart and vascular disease; Cardiomyopathy,,"ABCC9,ACTC1,ACTN2,ALPK3,ANKRD1,ANO5,BAG3,CALR3,CAV3,CRYAB,CSRP3,CTNNA3,DES,DMD,DSC2,DSG2,DSP,DTNA,EMD,FHL1,FKTN,FLNC,GLA,HCN4,ILK,JPH2,JUP,LAMA4,LAMP2,LDB3,LMNA,MIB1,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYLK2,MYOZ1,MYOZ2,MYPN,NEXN,PKP2,PLN,PRDM16,PRKAG2,RBM20,RYR2,SCN5A,SGCD,TAZ,TBX20,TCAP,TMEM43,TNNC1,TNNI3,TNNT2,TPM1,TTN,TTR,TXNRD2,VCL"
nx20,NX20,analyse NGS EPI; subpanel 9,,,
nx200,NX200,Analyse Exoom; Noonan syndroom,Heart and vascular disease; Noonan syndrome,,
nx202,NX202,Analyse Exoom; DER ED,Dermatology; ectodermal dysplasia,,"AAGAB,APCDD1,CDSN,CLDN10,COL7A1,DSC1,DSC2,DSC3,DSG1,DSG4,DSP,EDA,EDAR,EDARADD,FZD6,GJA1,GJB2,GJB6,GREM2,GRHL2,HOXC13,HR,IRF6,ITPR2,JUP,KDF1,KREMEN1,KRT1,KRT10,KRT14,KRT16,KRT17,KRT5,KRT6A,KRT6B,KRT6C,KRT71,KRT74,KRT81,KRT83,KRT85,KRT86,KRT9,LIPH,LOR,LPAR6,LRP6,MSX1,NEMO,NFKBIA,PAX9,PKP1,PLCD1,PORCN,PTH1R,PTHLH,RPL21,RSPO4,RUNX2,SERPINB7,SNRPE,TP63,TRAF6,WNT10A,WNT10B,XEDAR"
nx203,NX203,Analyse Exoom; Dystonie,Dystonia,,
nx204,NX204,Analyse Exoom; EPI Syndromen met epilepsie en verstandelijke,Epilepsy; Syndromes with Epilepsy and mental disorder,,
nx205,NX205,Analyse Exoom; EPI (Early Infantile) Epileptische Encephalop,Epilepsy; Early infantile epileptic encephalopathy,,
nx206,NX206,Analyse Exoom; EPI Koortsgerelateerde convulsies,Epilepsy; Fever-related seizures,,
nx207,NX207,Analyse Exoom; EPI Idiopathische gegeneraliseerde epilepsie,Epilepsy;Idiopathic generalized Epilepsy,,
nx208,NX208,Analyse Exoom; EPI Volledig Epilepsie Genpanel,Epilepsy,,
nx209,NX209,Analyse Exoom; NEURO Ataxie Early onset,Neurology; Ataxia Early Onset,,
nx210,NX210,Analyse Exoom; NEURO Ataxie Volwassenen,Neurology; Ataxia Adults,,
nx212,NX212,Analyse Exoom; panel OA,Developmental delay,,
nx213,NX213,Analyse Exoom; PID (totaal),Primary immune deficiencies,,
nx214,NX214,Analyse Exoom; KinderDCM,Dilated cardiomyopathy Child,,
nx215,NX215,Analyse Exoom; EPI Combi van GP Early Inf en syndr,Epilepsy; early infantile Epilepsy in combination Epilepsy syndrome,,
nx216,NX216,"Analyse Exoom, Prenatale 5GPM",5GPM; prenatal,,
nx217,NX217,Analyse NGS ONCO; losse genen,,,
nx218,NX218,Analyse Exoom; genpanel 5GPM,5GPM,,
nx22,NX22,analyse NGS DER; subpanel EB,Dermatology; subpanel EB,,
nx220,NX220,Analyse Exoom; MDL Cholestase Acuut Leverfalen,"Gastrointestinal, Liver Disorders; Cholestasis Acute Liver Failure",,"ABCB11,ABCB4,ABCC2,ABCD3,ACOX2,ADK,AHCY,AKR1D1,ALDOB,ALG8,AMACR,ANKS6,AP1S1,ATP7B,ATP8B1,BAAT,BCS1L,BLVRA,CDON,CEP83,CFC1,CFTR,CLDN1,COG7,CYP27A1,CYP7B1,DCDC2,DGUOK,DHCR7,EPHX1,ETFDH,FAH,FECH,FH,GALT,GBA,GBE1,GFM1,GLIS3,GPR161,HADHA,HAMP,HFE,HNF1B,HSD17B4,HSD3B7,IARS1,IFT140,IFT172,IFT43,INSR,INVS,JAG1,KMT2D,LARS1,MARS1,MPV17,MYO5B,NBAS,NOTCH2,NPC1,NPC2,NPHP3,NR1H4,PEX1,PEX10,PEX11B,PEX12,PEX13,PEX14,PEX16,PEX19,PEX2,PEX26,PEX3,PEX5,PEX6,PEX7,PKD1L1,PKHD1,POLG,POMC,PROKR2,RFX6,SC5D,SCO1,SERPINA1,SHH,SLC25A13,SLC40A1,SMPD1,TALDO1,TFR2,TGIF1,TJP2,TRAF3IP1,TRMU,TTC37,TWNK,UBR1,UGT1A1,VIL1,VIPAS39,VPS33B"
nx222,NX222,Analyse Exoom; DER Ichthyosis totaal,Dermatology; ichthyosis,,"ABCA12,ABHD5,ADAM17,ALDH3A2,ALOX12B,ALOXE3,AP1S1,CAPN12,CARD14,CASP14,CDSN,CERS3,CHST8,CLDN1,CLDN10,CSTA,CYP4F22,DSG1,EBP,EGFR,ELOVL4,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,ERCC8,FLG,FLG2,GBA,GJA1,GJB2,GJB3,GJB4,GJB6,GTF2H5,IL36RN,KDSR,KRT1,KRT10,KRT2,KRT83,LIPN,LOR,MBTPS2,MPLKIP,NIPAL4,NSDHL,PHYH,PNPLA1,POMP,SDR9C7,SERPINB8,SLC27A4,SNAP29,SPINK5,ST14,STS,SULT2B1,SUMF1,TGM1,TGM5,VPS33B"
nx224,NX224,Analyse Exoom; KinderDCM,Dilated cardiomyopathy Child,,
nx225,NX225,Analyse Exoom; Mitochondriëele aandoeningen,Mitochondrial disorders,,"AARS2,ABAT,ACAD9,ACO2,AFG3L2,AGK,AIFM1,ALDH1B1,ANO10,APTX,ATAD3A,ATAD3B,ATP13A2,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MF,ATP5MG,ATP5MGL,ATP5PB,ATP5PD,ATP5PF,ATP5PO,ATPAF1,ATPAF2,BCS1L,BOLA1,BOLA2,BOLA3,C12orf65,C19orf12,C1QBP,CA5A,CARS2,CEP89,CHCHD10,CHKB,CLPB,CLPP,COA1,COA3,COA5,COA6,COA7,COA8,COASY,COQ2,COQ4,COQ5,COQ6,COQ7,COQ8A,COQ8B,COQ9,COX10,COX14,COX15,COX20,COX4I1,COX4I2,COX5A,COX5B,COX6A1,COX6A2,COX6B1,COX6B2,COX6C,COX7A1,COX7A2,COX7B,COX7B2,COX7C,COX8A,COX8C,CP,CTBP1,CYC1,CYCS,DARS2,DCAF17,DDHD1,DES,DGUOK,DHTKD1,DLAT,DLD,DLST,DMAC1,DMAC2,DMAC2L,DNA2,DNAJC19,DNAJC3,DNM1L,EARS2,ECHS1,ECSIT,EHHADH,ELAC2,ERAL1,ETHE1,FA2H,FARS2,FASTKD2,FBXL4,FDX2,FDXR,FH,FOXRED1,FTL,FXN,GARS1,GATB,GATC,GATM,GFER,GFM1,GFM2,GLRX5,GLUD1,GTPBP2,GTPBP3,HARS2,HCCS,HIBCH,HLCS,HSD17B10,HSPA9,HSPD1,HTRA2,IARS2,IBA57,ISCA2,ISCU,KARS1,LACTB,LARS2,LIAS,LIPT1,LIPT2,LONP1,LRPPRC,LYRM4,LYRM7,MARS2,MCUR1,MDH2,MECR,MFF,MFN2,MGME1,MICOS13,MICU1,MICU2,MIEF2,MIPEP,MPC1,MPV17,MRM2,MRPL12,MRPL3,MRPL40,MRPL44,MRPL57,MRPS16,MRPS2,MRPS22,MRPS23,MRPS34,MRPS7,MRRF,MSTO1,MTFMT,MTO1,MTPAP,NARS2,NAXE,NDUFA1,NDUFA10,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFAB1,NDUFAF1,NDUFAF2,NDUFAF3,NDUFAF4,NDUFAF5,NDUFAF6,NDUFAF7,NDUFB1,NDUFB10,NDUFB11,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFC1,NDUFC2,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NDUFV3,NFS1,NFU1,NSUN3,NUBPL,OGDH,OPA1,OPA3,OXA1L,PANK2,PARS2,PC,PDHA1,PDHB,PDHX,PDK1,PDK2,PDK3,PDK4,PDP1,PDSS1,PDSS2,PET100,PET117,PIGA,PITRM1,PMPCA,PMPCB,PNPT1,POLG,POLG2,PPA2,PRKAA1,PTRH2,PUS1,PYCR1,PYCR2,QRSL1,RARS2,RMND1,RNASEH1,RRM2B,RTN4IP1,SACS,SAMHD1,SARS2,SCO1,SCO2,SCP2,SDHA,SDHAF1,SDHB,SDHD,SERAC1,SFXN4,SLC19A2,SLC19A3,SLC25A1,SLC25A10,SLC25A12,SLC25A13,SLC25A19,SLC25A21,SLC25A22,SLC25A24,SLC25A3,SLC25A32,SLC25A4,SLC25A42,SLC25A46,SLC39A8,SLC52A2,SLC52A3,SPART,SPATA5,SPG7,SQSTM1,STAT2,STXBP1,SUCLA2,SUCLG1,SUCLG2,SURF1,TACO1,TANGO2,TARS2,TAZ,THG1L,TIMM44,TIMM50,TIMM8A,TIMMDC1,TK2,TMEM126A,TMEM126B,TMEM186,TMEM65,TMEM70,TPK1,TRIT1,TRMT10C,TRMT5,TRMU,TRNT1,TSFM,TTC19,TUFM,TWNK,TXN2,TYMP,UQCC1,UQCC2,UQCC3,UQCR10,UQCR11,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,UQCRQ,VARS2,VPS13D,WARS2,WDR45,YARS2,YME1L1"
nx226,NX226,Analyse Exoom; Noonan syndroom,Heart and vascular disease; Noonan syndrome,,
nx227,NX227,Analyse Exoom; panel OA,Developmental delay,,
nx228,NX228,Analyse Exoom; DER Palmoplantaire Keratoderma,Dermatology; Palmoplantar keratoderma,,"AAAS,AAGAB,ABCA12,ABHD5,ACD,ADAM10,ALDH3A2,ALOX12B,ALOXE3,AP1S1,AQP5,ATP2A2,BRAF,CAPN12,CARD14,CASP14,CAST,CDSN,CERS3,CHST8,COG6,COL14A1,COL17A1,CSTA,CTC1,CTSC,CYP4F22,DKC1,DSC1,DSC2,DSC3,DSG1,DSG3,DSP,DST,EBP,EDA1,EDAR,EDARADD,ENPP1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,ERCC8,EXPH5,FAM83G,FERMT1,FLG,FLG2,GJA1,GJB2,GJB3,GJB4,GJB6,GTF2E2,GTF2H5,HPGD,HRAS,IL36RN,ITGA6,ITGB4,JUP,KANK2,KDSR,KLHL24,KRAS,KRT1,KRT10,KRT14,KRT16,KRT17,KRT2,KRT5,KRT6A,KRT6B,KRT6C,KRT83,KRT9,LAMA3,LAMB3,LAMC2,LIPN,LOR,MAP2K1,MAP2K2,MBTPS2,MPLKIP,NECTIN1,NEMO,NHP2,NIPAL4,NLRP1,NOP10,NSDHL,PARN,PERP,PIGO,PKP1,PLEC,PNPLA1,POMP,RHBDF2,RNF113A,RSPO1,RTEL1,SASH1,SDR9C7,SERPINB7,SERPINB8,SLC27A4,SLCO2A1,SLURP1,SLURP2,SMARCAD1,SNAP29,SPINK5,SRD5A3,ST14,STS,SULT2B1,TAT,TERC,TERT,TGM1,TGM5,TINF2,TP63,TRPV3,TUFT1,USB1,VPS33B,WNT10A,WRAP53"
nx229,NX229,Analyse Exoom; PID (totaal),Primary immune deficiencies,,
nx23,NX23,analyse NGS DER; subpanel ED,Dermatology; subpanel ED,,
nx230,NX230,Analyse Exoom; FERTI Prematuur Ovarieel Falen (POF),Fertility; POF,,"BMP15,CLPP,CYP17A1,CYP19A1,FIGLA,FOXL2,FSHB,FSHR,GALT,HARS2,HFM1,LARS2,MCM8,MCM9,NOBOX,SOHLH1,STAG3"
nx232,NX232,Analyse Exoom; MDL Very Early Onset Inflammatory Bowel Dise,"Gastrointestinal, Liver Disorders; Very Early Onset Inflammatory Bowel Disease",,
nx233,NX233,Analyse Exoom; DER Ichthyosis - geïsoleerd,Dermatology; ichthyosis,,"ABCA12,ALDH3A2,ALOX12B,ALOXE3,CAPN12,CARD14,CASP14,CDSN,CERS3,CHST8,CSTA,CYP4F22,DSG1,EBP,FLG,FLG2,GJA1,GJB2,GJB3,GJB4,GJB6,IL36RN,KDSR,KRT1,KRT10,KRT2,KRT83,LIPN,LOR,NIPAL4,NSDHL,PNPLA1,POMP,SDR9C7,SERPINB8,SLC27A4,SPINK5,ST14,STS,SULT2B1,TGM1,TGM5"
nx235,NX235,"Analyse Exoom, Prenatale 5GPM",5GPM; prenatal,,
nx236,NX236,Analyse Exoom; CHM Congenitale afwijkingen,Congenital Heart Malformations; Congenital abnormalities,,
nx237,NX237,Analyse Exoom; CHM Heterotaxie,Congenital Heart Malformations; Heterotaxia,,
nx238,NX238,Analyse Exoom; CHM Linkszijdige hartafwijkingen,Congenital Heart Malformations; Left-sided heart defects,,
nx239,NX239,Analyse NGS ONCO; Borstkanker,Oncology; Breast cancer,,
nx24,NX24,analyse NGS DER; subpanel ED exclusief AXIN2,Dermatology; subpanel ED excluding AXIN2,,
nx240,NX240,Analyse NGS ONCO; Borstkanker en LF,Oncology; Breast cancer and LF,,
nx241,NX241,Analyse NGS ONCO; Darmkanker,Oncology; Colon cancer,,
nx242,NX242,Analyse NGS ONCO; Darmpoliepen,Oncology; Colon polyps,,
nx245,NX245,Analyse NGS ONCO; Endocrinologie-feochromocytomen,Oncology; Endocrinology Pheochromocytomas,,
nx246,NX246,Analyse NGS ONCO; Endocrinologie-NET,Oncology; Endocrinology-NET,,
nx247,NX247,Analyse NGS ONCO; Huidkanker,Oncology; Skin cancer,,
nx249,NX249,Analyse NGS ONCO; Kinderonco-meningeoma/schwannoma,"Oncology; Children's onco-meningioma / schwannoma",,
nx251,NX251,Analyse NGS ONCO; Kinderonco-nierkanker aanvullend,Oncology; Pediatric kidney cancer supplementary,,
nx252,NX252,Analyse NGS ONCO; Leukemie/Lymfoom,,,
nx255,NX255,Analyse NGS ONCO; Nierkanker,Oncology; Kidney Cancer,,
nx258,NX258,Analyse NGS ONCO; Retinoblastoom,Oncology; Retinoblastoma,,
nx260,NX260,"Analyse Exoom, Prenatale 5GPM",5GPM; prenatal,,
nx261,NX261,Analyse Exoom; genpanel 5GPM,5GPM,,
nx262,NX262,Analyse Exoom; PID Autoinflammatoir,Primary immune deficiencies; autoinflammatory,,
nx263,NX263,Analyse Exoom; PID (totaal),Primary immune deficiencies,,
