id,code,description,panel,labelPanel,genes
nx289,NX289,Analyse Exoom; CHM Congenitale afwijkingen,,,"ABCC9,ABL1,ACAD9,ACTA2,ACTB,ACTC1,ACVR1,ACVR2B,ACVRL1,ADAM17,ADAMTS10,ADAMTS19,ADAMTS5,ADAMTSL2,ADK,ADNP,AHI1,AHNAK,ALDH18A1,ALDH1A2,AMER1,ANKRD11,ANKS3,ANKS6,ARHGAP31,ARID1A,ARL2BP,ARMC4,ASAH1,ASXL1,AXIN1,AXIN2,B3GALT6,B3GAT3,BBS2,BCOR,BRAF,C12ORF57,CAD,CBL,CCBE1,CCDC103,CCDC114,CCDC151,CCDC22,CCDC39,CCDC40,CCNQ,CD96,CDH2,CDK13,CENPF,CEP290,CEP57,CFAP53,CFC1,CHD4,CHD7,CHRNG,CHST14,CHST3,CITED2,COL1A2,COL3A1,CREBBP,CRELD1,CRKL,CTCF,DAND5,DCHS1,DDX3X,DDX58,DHCR7,DISP1,DLL4,DNAAF1,DNAAF2,DNAAF3,DNAAF4,DNAAF5,DNAH11,DNAH5,DNAH6,DNAI1,DNAI2,DNAL1,DNMT3A,DOCK6,DTNA,EDNRA,EFEMP2,EFTUD2,EGFR,EHMT1,ELN,ENG,EP300,EPHB4,ESCO2,EVC,EVC2,FBLN5,FBN1,FBN2,FGFR2,FKTN,FLNA,FLNB,FLT4,FOXA2,FOXC1,FOXC2,FOXE3,FOXF1,FOXH1,FOXL1,FOXP1,GALNT11,GANAB,GATA4,GATA5,GATA6,GDF1,GDF6,GGCX,GJA1,GJA5,GLB1,GLI3,GNPTG,GPC3,GPC6,HAAO,HAND1,HAND2,HCCS,HES7,HEY2,HGD,HOXA1,HRAS,IDUA,IFIH1,IFT122,INVS,IRX1,IRX4,IRX5,ISL1,JAG1,JARID2,JMJD1C,KANSL1,KAT6B,KCNJ2,KDM5B,KDM6A,KMT2D,KRAS,KRT13,KYNU,LEFTY1,LEFTY2,LMNA,LOX,LRRC6,LTBP2,LZTFL1,LZTR1,MAML1,MAML2,MAP2K1,MAP2K2,MAP3K7,MAPK1,MAT2A,MATR3,MCTP2,MED12,MED13L,MEF2C,MEGF8,MEIS2,MEOX1,MESP1,MFAP5,MGP,MIB1,MID1,MKKS,MKS1,MMP21,MYCN,MYH11,MYH6,MYH7,MYLK,MYOM2,MYRF,NAA10,NAA15,NEK1,NEK2,NEK8,NF1,NFATC1,NFE2L2,NIPBL,NKX2-5,NKX2-6,NME8,NODAL,NOS3,NOTCH1,NOTCH2,NPHP1,NPHP3,NPHP4,NR1D2,NR2F2,NRAS,NRP1,NSD1,NUP188,OPA3,PBX1,PDIA2,PDSS1,PEX1,PIFO,PIH1D3,PITX2,PKD1L1,PKD2,PKP2,PLD1,PLXND1,POFUT1,POGZ,PORCN,PPL,PPP1CB,PRDM1,PRDM6,PRKD1,PRKG1,PROX1,PRRX1,PTPN11,RAB23,RAF1,RAI1,RASA1,RBFOX2,RBM10,RBM8A,RERE,RIPPLY2,RIT1,ROBO1,ROBO4,ROCK2,ROR2,RPL26,RPS6KA3,RREB1,RTTN,SALL1,SALL4,SEC24C,SEMA3D,SEMA3E,SESN1,SGCD,SGO1,SH2B1,SH3PXD2B,SHOC2,SHROOM3,SLC2A10,SMAD2,SMAD3,SMAD4,SMAD6,SMARCA2,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMG9,SNIP1,SOS1,SOS2,SOX11,SOX2,SOX9,SPAG1,SPECC1L,SRCAP,STRA6,SULF1,TAB2,TAF2,TALDO1,TBL1Y,TBX1,TBX2,TBX20,TBX3,TBX5,TFAP2B,TGDS,TGFB2,TGFB3,TGFBR1,TGFBR2,TLL1,TMEM260,TMEM70,TPM1,TRAF7,TTC37,TTC8,UBE2A,UBR1,UFD1,USP9X,UVRAG,VANGL1,VCAN,WASHC5,WDPCP,WNT5A,WT1,YY1AP1,ZEB2,ZFP57,ZFPM2,ZIC3,ZMYM3,ZMYND10,ZNF148,ZNF462"
nx29,NX29,analyse NGS ONCO; borst/ei basis,Oncology; Breast/ovarian basis,,
nx290,NX290,Analyse Exoom; CHM Heterotaxie,,,"ACVR2B,ACVRL1,AHI1,ANKS3,ANKS6,ARL2BP,ARMC4,BBS2,BCOR,CAD,CCDC103,CCDC114,CCDC151,CCDC39,CCDC40,CEP290,CFAP53,CFC1,CITED2,CRELD1,DAND5,DNAAF1,DNAAF2,DNAAF3,DNAAF4,DNAAF5,DNAH11,DNAH5,DNAH6,DNAI1,DNAI2,DNAL1,FKTN,FOXA2,FOXH1,GALNT11,GATA6,GDF1,GJA1,HES7,INVS,IRX1,ISL1,KDM5B,LEFTY1,LEFTY2,LRRC6,LZTFL1,MED13L,MEGF8,MMP21,NAA15,NEK2,NEK8,NFATC1,NKX2-5,NKX2-6,NME8,NODAL,NOTCH1,NPHP3,NPHP4,NUP188,PIFO,PIH1D3,PITX2,PKD1L1,PKD2,PRDM1,PRRX1,RAI1,RIPPLY2,ROCK2,ROR2,RTTN,SEMA3D,SESN1,SHROOM3,SMAD2,SMARCA2,SMARCA4,SMARCB1,SMARCE1,SOX9,SPAG1,TBX20,TTC8,UBR1,UVRAG,VANGL1,WNT5A,ZIC3,ZMYND10,ZNF462"
nx291,NX291,Analyse Exoom; CHM Linkszijdige hartafwijkingen,,,"ABCC9,ABL1,ACTA2,ACTB,ACVR1,ADAM17,ADAMTS10,ADAMTS19,ADAMTS5,ADAMTSL2,ADK,AHI1,AHNAK,ALDH18A1,ALDH1A2,AMER1,ANKRD11,ANKS6,ARHGAP31,ASAH1,AXIN1,AXIN2,B3GALT6,B3GAT3,BBS2,BCOR,BRAF,C12ORF57,CBL,CCDC22,CCNQ,CDH2,CEP57,CHD4,CHD7,CHRNG,CHST3,CITED2,COL1A2,COL3A1,CTCF,DCHS1,DDX3X,DDX58,DHCR7,DLL4,DOCK6,DTNA,EDNRA,EFEMP2,EGFR,EHMT1,ELN,ENG,ESCO2,EVC,EVC2,FBLN5,FBN1,FBN2,FLNA,FLNB,FOXA2,FOXC1,FOXC2,FOXE3,FOXF1,FOXL1,FOXP1,GANAB,GATA4,GATA5,GDF1,GDF6,GJA1,GLB1,GLI3,GNPTG,HAAO,HAND1,HEY2,HGD,HOXA1,HRAS,IDUA,IFIH1,IFT122,JAG1,JARID2,JMJD1C,KANSL1,KAT6B,KCNJ2,KDM5B,KDM6A,KMT2D,KRAS,KRT13,KYNU,LEFTY2,LMNA,LOX,LTBP2,LZTR1,MAML1,MAML2,MAP2K1,MAP2K2,MAP3K7,MAPK1,MAT2A,MATR3,MCTP2,MEIS2,MEOX1,MFAP5,MIB1,MID1,MKKS,MKS1,MMP21,MYH11,MYH6,MYH7,MYLK,MYRF,NEK1,NEK8,NF1,NFE2L2,NIPBL,NKX2-5,NKX2-6,NOS3,NOTCH1,NOTCH2,NPHP1,NPHP3,NPHP4,NR2F2,NRAS,OPA3,PDIA2,PDSS1,PITX2,PKP2,PLD1,POFUT1,PORCN,PPP1CB,PRDM6,PRKG1,PROX1,PTPN11,RAF1,RAI1,RBFOX2,RBM8A,ROBO4,ROR2,RPL26,RPS6KA3,RREB1,SEC24C,SEMA3D,SEMA3E,SGO1,SH2B1,SLC2A10,SMAD3,SMAD4,SMAD6,SMARCA2,SMARCA4,SMARCB1,SMARCE1,SMC1A,SNIP1,SOS1,SOS2,SOX11,SOX9,SPECC1L,SRCAP,STRA6,SULF1,TAB2,TAF2,TALDO1,TBL1Y,TBX1,TBX2,TBX20,TBX3,TBX5,TGDS,TGFB2,TGFB3,TGFBR1,TGFBR2,TMEM70,TTC37,UBE2A,UFD1,USP9X,VCAN,WASHC5,WDPCP,WT1,YY1AP1,ZFP57,ZMYM3,ZNF148,ZNF462"
nx294,NX294,Analyse Exoom; HVZ Pulmonale arteriële hypertensie,,,"ABCC8,ACTA2,ACVRL1,AQP1,ATP13A3,BMPR1B,BMPR2,CAV1,EIF2AK4,ENG,GDF2,GGCX,KCNA5,KCNK3,KDR,KLF2,KLK1,SMAD4,SMAD9,SOX17,TBX4"
nx295,NX295,Analyse Exoom; HVZ Dyslipidemie (totaal),,,"ABCA1,ABCG5,ABCG8,ANGPTL3,APOA1,APOA5,APOB,APOC2,APOC3,APOE,CETP,CYP27A1,CYP7A1,GPD1,GPIHBP1,LCAT,LDLR,LDLRAP1,LIPA,LIPC,LIPG,LMF1,LPL,MTTP,MYLIP,PCSK9,SAR1B,SCARB1,SLCO1B1"
nx30,NX30,analyse NGS ONCO; borst/ei aanvullend,Oncology; Breast/ovarian cancer supplementary,,
nx301,NX301,Analyse Exoom; DYST Dystonie,,,"ADAR,ADCY5,ALDH5A1,ANO3,ARX,ATM,ATP13A2,ATP1A3,ATP7B,BCS1L,C19orf12,CACNA1b,CDKL5,CIZ1,COX10,COX15,COX20,CP,DDC,DLAT,DLD,FA2H,FBXO7,FOLR1,FOXG1,FTL,FUS,GCDH,GCH1,GNAL,IRF2BPL,KMT2B,LRPPRC,MECP2,MTTP,NDUFA10,NDUFA12,NDUFA2,NDUFA9,NDUFAF2,NDUFAF5,NDUFAF6,NDUFS1,NDUFS3,NDUFS4,NDUFS7,NDUFS8,NKX2-1,NPC1,NPC2,NUP62,PAH,PANK2,PARK7,PCBD1,PDHA1,PDHB,PDHX,PINK1,PLA2G6,PLP1,PNKD,POLG,PRKN,PRKRA,PRRT2,PTS,QDPR,RNASEH2A,RNASEH2B,RNASEH2C,SAMHD1,SCO2,SERAC1,SGCE,SLC16A2,SLC19A3,SLC20A1,SLC2A1,SLC30A10,SLC6A19,SLC6A3,SPG11,SPG7,SPR,SUCLA2,SUCLG1,SURF1,TACO1,TAF1,TH,THAP1,TIMM8A,TOR1A,TREX1,TTPA,TUBB4a,TWNK,VPS13A,VPS13D,WDR45"
nx302,NX302,Analyse Exoom; EPI Volledig Epilepsie Genpanel,,,"AARS1,ACTL6B,ADSL,ALDH7A1,ALG13,AMT,ANKRD11,AP3B2,ARHGEF9,ARV1,ARX,ASAH1,ATAD1,ATP1A2,ATP1A3,ATP6AP2,ATRX,BRAT1,CACNA1A,CASK,CBS,CDKL5,CHD2,CHRNA2,CHRNA4,CHRNB2,CLCN4,CLN3,CLN5,CLN6,CLN8,CNKSR2,CNTNAP2,COQ4,CPA6,CPT2,CSNK2B,CTSD,CUL4B,DCX,DENND5A,DEPDC5,DNAJC5,DNM1,DOCK7,DYRK1A,EEF1A2,EFHC1,EPM2A,FGD1,FLNA,FOLR1,FOXG1,FRRS1L,GABRA1,GABRA3,GABRB2,GABRB3,GABRG2,GAMT,GATM,GCSH,GLDC,GLRA1,GLRB,GNAO1,GOSR2,GPC3,GPHN,GRIA2,GRIA3,GRIK2,GRIN1,GRIN2A,GRIN2B,GRIN2D,GRN,HCFC1,HCN1,HCN2,HDAC4,HNRNPU,HPRT1,HSD17B10,HUWE1,IQSEC2,IRF2BPL,KCNA2,KCNB1,KCNC1,KCNH1,KCNJ10,KCNMA1,KCNQ2,KCNQ3,KCNQ5,KCNT1,KCTD7,KDM5C,KMT2A,KPNA7,LGI1,MBD5,MDH2,MECP2,MED12,MEF2C,MFSD8,MOCS1,MOCS2,MTHFR,MTOR,NBEA,NEXMIF,NHLRC1,NPRL2,NPRL3,NRXN1,NSDHL,OFD1,OPHN1,PAK3,PCDH19,PGAP1,PHF6,PHGDH,PIGA,PIGH,PIGN,PIGO,PIGT,PLCB1,PLP1,PNKP,PNPO,POLG,PPP3CA,PPT1,PQBP1,PRICKLE1,PRICKLE2,PRPS1,PRRT2,PSAT1,PSPH,PURA,QARS1,RAB39B,RAI1,RANBP2,RARS2,RELN,RNASEH2A,RNASEH2B,RNASEH2C,ROGDI,RPS6KA3,SAMHD1,SCARB2,SCN1A,SCN1B,SCN2A,SCN8A,SHANK3,SIK1,SLC12A5,SLC13A5,SLC16A2,SLC19A3,SLC1A3,SLC25A15,SLC25A22,SLC2A1,SLC35A2,SLC6A1,SLC6A5,SLC6A8,SLC9A6,SMC1A,SMS,SNAP25,SON,SPTAN1,ST3GAL3,ST3GAL5,STX1B,STXBP1,SYN1,SYNGAP1,SYNJ1,SYP,SZT2,TBC1D24,TBCE,TCF4,TPP1,TREX1,UBA5,UBE2A,UBE3A,WDR45,WWOX,YWHAG,ZDHHC9,ZEB2"
nx303,NX303,Analyse Exoom; EPI Benigne fam neo/infan convulsies,,,"ATP1A2,KCNQ2,KCNQ3,PRRT2,SCN2A,SCN8A,TBC1D24"
nx305,NX305,Analyse Exoom; EPI Koortsgerelateerde convulsies,,,"ATP1A2,CACNA1A,CHD2,CLCN4,CPA6,GABRA1,GABRB2,GABRB3,GABRG2,HCN1,HCN2,KCNA2,PCDH19,PIGH,POLG,SCN1A,SCN1B,SCN2A,SCN8A,STX1B,TBC1D24"
nx306,NX306,Analyse Exoom; FOSFA Hyper-/ en Hypofosfatemie,,,"ALDOB,AP2S1,CLCN5,CTNS,CYP27B1,CYP2R1,CYP3A4,DMP1,EHHADH,ENPP1,FAH,FAM20C,FGF23,FGFR1,G6PC1,GALNT3,GALT,KL,OCRL,PHEX,PTH1R,SLC2A2,SLC34A1,SLC34A3,SLC9A3R1,VDR"
